Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
5793,Yogyakarta,Bukit Wisata Pulepayung,Kampung Wisata Taman Sari,Pantai Nglambor,,,,,
5794,Bandung,Monumen Perjuangan Rakyat Jawa Barat,Masjid Al-Imtizaj,Curug Tilu Leuwi Opat,Taman Miniatur Kereta Api,Panghegar Waterboom Bandung,Taman Miniatur Kereta Api,Panghegar Waterboom Bandung,Panghegar Waterboom Bandung
5795,Semarang,Kampung Tematik Jawi,Taman Tabanas,Kota Lama Semarang,Kampung Tematik Jawi,,Kampung Tematik Jawi,,
5796,Yogyakarta,Taman Pelangi Jogja,Pasar Beringharjo,Taman Situ Lembang,,,,,
5797,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Taman Impian Jaya Ancol,Hutan Kota Srengseng,Taman Agrowisata Cilangkap,,Taman Agrowisata Cilangkap,,
5798,Bandung,Museum Konferensi Asia Afrika,Curug Dago,NuArt Sculpture Park,Museum Gedung Sate,Gunung Papandayan,Museum Gedung Sate,Gunung Papandayan,Gunung Papandayan
5799,Yogyakarta,Pintoe Langit Dahromo,Tugu Pal Putih Jogja,Puncak Kebun Buah Mangunan,,,,,
5800,Yogyakarta,Bukit Lintang Sewu,Kampung Wisata Kadipaten,Watu Goyang,,,,,
5801,Semarang,Jembatan Biru Ambarawa,Lawang Sewu,Semarang Chinatown,Monumen Palagan Ambarawa,GPIB Immanuel Semarang (Gereja Blenduk),Monumen Palagan Ambarawa,GPIB Immanuel Semarang (Gereja Blenduk),GPIB Immanuel Semarang (Gereja Blenduk)
5802,Semarang,Old City 3D Trick Art Museum,Masjid Agung Ungaran,Watu Gunung Ungaran,Pantai Marina,Kampung Tematik Jawi,Pantai Marina,Kampung Tematik Jawi,Kampung Tematik Jawi
5803,Yogyakarta,Gembira Loka Zoo,The World Landmarks - Merapi Park Yogyakarta,Watu Lumbung,Desa Wisata Sungai Code Jogja Kota,,Desa Wisata Sungai Code Jogja Kota,,
5804,Semarang,Waduk Jatibarang,Wisata Mangrove Tapak,Gua Maria Kerep Ambarawa,Wisata Eling Bening,La Kana Chapel,Wisata Eling Bening,La Kana Chapel,La Kana Chapel
5805,Semarang,Wisata Alam Wana Wisata Penggaron,Monumen Palagan Ambarawa,Taman Pandanaran,,,,,
5806,Semarang,Wisata Mangrove Tapak,Gua Maria Kerep Ambarawa,Kampung Batik Gedong Semarang,Brown Canyon,,Brown Canyon,,
5807,Yogyakarta,Tugu Pal Putih Jogja,Watu Goyang,Goa Pindul,,,,,
5808,Jakarta,Museum Layang-layang,Grand Indonesia Mall,Museum Wayang,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
5809,Semarang,Benteng Pendem,Semarang Gallery, Pantai Cipta,,,,,
5810,Yogyakarta,Pasar Kebon Empring Bintaran,Hutan Pinus Pengger,Wisata Kalibiru,Pantai Indrayanti,,Pantai Indrayanti,,
5811,Bandung,Bukit Jamur,Masjid Raya Bandung,| Peta Park,Museum Pos Indonesia,Glamping Lakeside Rancabali,Museum Pos Indonesia,Glamping Lakeside Rancabali,Glamping Lakeside Rancabali
5812,Surabaya,Food Junction Grand Pakuwon,Museum De Javasche Bank,Kebun Binatang Surabaya,House of Sampoerna,,House of Sampoerna,,
5813,Bandung,Masjid Pusdai,Kota Mini,Kiara Artha Park,Museum Gedung Sate,Taman Hutan Raya Ir. H. Djuanda,Museum Gedung Sate,Taman Hutan Raya Ir. H. Djuanda,Taman Hutan Raya Ir. H. Djuanda
5814,Bandung,Tebing Karaton,Taman Hutan Raya Ir. H. Djuanda,Kebun Binatang Bandung,,,,,
5815,Surabaya,Monumen Kapal Selam,Patung Buddha Empat Rupa,Taman Buah Surabaya,Monumen Kapal Selam,Rumah Batik,Monumen Kapal Selam,Rumah Batik,Rumah Batik
5816,Jakarta,Pulau Pelangi,Museum Layang-layang,Masjid Istiqlal,Alive Museum Ancol,Plaza Indonesia,Alive Museum Ancol,Plaza Indonesia,Plaza Indonesia
5817,Surabaya,Taman Air Mancur Menari Kenjeran,Taman Ekspresi Dan Perpustakaan,Atlantis Land Surabaya,Surabaya Museum (Gedung Siola),,Surabaya Museum (Gedung Siola),,
5818,Bandung,Museum Sri Baduga,Museum Sri Baduga,Museum Geologi Bandung,,,,,
5819,Semarang,Sam Poo Kong Temple,Jembatan Biru Ambarawa,Brown Canyon,Water Blaster Bukit Candi Golf,Gua Maria Kerep Ambarawa,Water Blaster Bukit Candi Golf,Gua Maria Kerep Ambarawa,Gua Maria Kerep Ambarawa
5820,Semarang,Grand Maerakaca,Taman Tabanas,Taman Pandanaran,Gua Maria Kerep Ambarawa,Pantai Cipta,Gua Maria Kerep Ambarawa,Pantai Cipta,Pantai Cipta
5821,Semarang,Saloka Theme Park,Kampung Pelangi,Taman Tabanas,Semarang Chinatown,Taman Kasmaran,Semarang Chinatown,Taman Kasmaran,Taman Kasmaran
5822,Bandung,Roemah Seni Sarasvati,Teras Cikapundung BBWS,Lembang Park & Zoo,NuArt Sculpture Park,Gua Pawon,NuArt Sculpture Park,Gua Pawon,Gua Pawon
5823,Semarang,Tugu Muda Semarang,Indonesia Kaya Park,Kampung Tematik Jawi,Wisata Eling Bening,Taman Pandanaran,Wisata Eling Bening,Taman Pandanaran,Taman Pandanaran
5824,Surabaya,Museum Kesehatan Dr. Adhyatma,Museum Kesehatan Dr. Adhyatma,Taman Prestasi,Taman Mundu,,Taman Mundu,,
5825,Bandung, Panama Park 825,Mountain View Golf Club,Museum Mandala Wangsit Siliwangi,Curug Luhur Waterfall,Lembang Park & Zoo,Curug Luhur Waterfall,Lembang Park & Zoo,Lembang Park & Zoo
5826,Bandung,Museum Pos Indonesia,Caringin Tilu,Taman Hutan Raya Ir. H. Djuanda,Kebun Tanaman Obat Sari Alam,Taman Balai Kota Bandung,Kebun Tanaman Obat Sari Alam,Taman Balai Kota Bandung,Taman Balai Kota Bandung
5827,Bandung,Kampung Korea Bandung,Saung Angklung Mang Udjo,Taman Kupu-Kupu Cihanjuang,,,,,
5828,Semarang,Flower Farm Setiya Aji,Pura Giri Natha,Pantai Marina,Hutan Wisata Tinjomoyo Semarang,Taman Pandanaran,Hutan Wisata Tinjomoyo Semarang,Taman Pandanaran,Taman Pandanaran
5829,Semarang,Tugu Muda Semarang,Wisata Eling Bening,Kampoeng Kopi Banaran,Flower Farm Setiya Aji,Wisata Mangrove Tapak,Flower Farm Setiya Aji,Wisata Mangrove Tapak,Wisata Mangrove Tapak
5830,Surabaya,Surabaya North Quay,Patung Sura dan Buaya,Museum Sepuluh Nopember Kota Surabaya,Masjid Kapal Semarang,Museum De Javasche Bank,Masjid Kapal Semarang,Museum De Javasche Bank,Museum De Javasche Bank
5831,Bandung,Museum Pendidikan Nasional,Ade Irma Suryani Nasution Traffic Park,Museum Pendidikan Nasional,Masjid Al-Imtizaj,Monumen Perjuangan Rakyat Jawa Barat,Masjid Al-Imtizaj,Monumen Perjuangan Rakyat Jawa Barat,Monumen Perjuangan Rakyat Jawa Barat
5832,Yogyakarta,Pantai Drini,Pantai Sundak,Puncak Segoro,,,,,
5833,Bandung,Kyotoku Floating Market,NuArt Sculpture Park,Dago Dreampark,Curug Luhur Waterfall,Gunung Tangkuban Perahu,Curug Luhur Waterfall,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu
5834,Semarang,Wisata Lereng Kelir,GPIB Immanuel Semarang (Gereja Blenduk),Pantai Baruna,,,,,
5835,Surabaya,House of Sampoerna,Museum Kesehatan Dr. Adhyatma,Pantai Ria Kenjeran,Balai Kota Surabaya,,Balai Kota Surabaya,,
5836,Yogyakarta,Puncak Kebun Buah Mangunan,Taman Pelangi Yogyakarta,Candi Borobudur,,,,,
5837,Yogyakarta,Watu Lumbung,Candi Ijo,Bukit Wisata Pulepayung,Taman Situ Lembang,Gembira Loka Zoo,Taman Situ Lembang,Gembira Loka Zoo,Gembira Loka Zoo
5838,Surabaya,Taman Pelangi,Taman Buah Surabaya,Kebun Bibit Wonorejo,Masjid Muhammad Cheng Hoo,,Masjid Muhammad Cheng Hoo,,
5839,Jakarta,Museum Seni Rupa dan Kramik,Museum Nasional,Museum Bahari Jakarta,Galeri Indonesia Kaya,,Galeri Indonesia Kaya,,
5840,Bandung,Curug Batu Templek,Stone Garden Geopark,Museum Nike Ardilla,Museum Geologi Bandung,Sudut Pandang Bandung,Museum Geologi Bandung,Sudut Pandang Bandung,Sudut Pandang Bandung
5841,Bandung,Tebing Karaton,Taman Kupu-Kupu Cihanjuang,Taman Vanda,Kebun Tanaman Obat Sari Alam,Taman Film,Kebun Tanaman Obat Sari Alam,Taman Film,Taman Film
5842,Jakarta,Museum Bank Indonesia,Waterboom PIK (Pantai Indah Kapuk),Hutan Kota Srengseng,Alive Museum Ancol,,Alive Museum Ancol,,
5843,Semarang,Tugu Muda Semarang,Pura Giri Natha,Desa Wisata Lembah Kalipancur,,,,,
5844,Bandung,Museum Mandala Wangsit Siliwangi,Gunung Tangkuban Perahu,Panghegar Waterboom Bandung,Taman Sejarah Bandung,,Taman Sejarah Bandung,,
5845,Jakarta,Museum Tekstil,Pulau Pari,Pulau Pari,Tugu Proklamasi,,Tugu Proklamasi,,
5846,Bandung,Museum Konferensi Asia Afrika,Masjid Raya Bandung,Gereja Katedral Santo Petrus Bandung,Curug Anom,Museum Pos Indonesia,Curug Anom,Museum Pos Indonesia,Museum Pos Indonesia
5847,Bandung,Taman Balai Kota Bandung,Water Park Bandung Indah,Taman Balai Kota Bandung,Museum Konferensi Asia Afrika,Taman Hutan Raya Ir. H. Djuanda,Museum Konferensi Asia Afrika,Taman Hutan Raya Ir. H. Djuanda,Taman Hutan Raya Ir. H. Djuanda
5848,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Masjid Istiqlal,Pulau Bidadari,Museum Fatahillah,,Museum Fatahillah,,
5849,Surabaya,Ciputra Waterpark,Hutan Pinus Kayon,Museum TNI AL Loka Jala Crana,Kampoeng Rawa,Ekowisata Mangrove Wonorejo,Kampoeng Rawa,Ekowisata Mangrove Wonorejo,Ekowisata Mangrove Wonorejo
5850,Surabaya,Monumen Tugu Pahlawan,Balai Kota Surabaya,Museum TNI AL Loka Jala Crana,Monumen Kapal Selam,,Monumen Kapal Selam,,
5851,Semarang,Kota Lama Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Flower Farm Setiya Aji,Waduk Jatibarang,Kampung Pelangi,Waduk Jatibarang,Kampung Pelangi,Kampung Pelangi
5852,Semarang,Masjid Agung Ungaran,Pantai Marina,Hutan Wisata Tinjomoyo Semarang,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
5853,Bandung,Saung Angklung Mang Udjo,Ade Irma Suryani Nasution Traffic Park,Orchid Forest Cikole,,,,,
5854,Jakarta,Taman Impian Jaya Ancol,Museum Macan (Modern and Contemporary Art in Nusantara),Pulau Pramuka,Bumi Perkemahan Cibubur,,Bumi Perkemahan Cibubur,,
5855,Semarang,Old City 3D Trick Art Museum,Taman Tabanas,Taman Pandanaran,Durian Gardens and Tourism Education Watu Simbar,Jembatan Biru Ambarawa,Durian Gardens and Tourism Education Watu Simbar,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
5856,Semarang,Indonesia Kaya Park,Taman Kasmaran,Saloka Theme Park,Kota Lama Semarang,Brown Canyon,Kota Lama Semarang,Brown Canyon,Pulau Pramuka
5857,Yogyakarta,Pasar Beringharjo,Hutan Pinus Asri,Hutan Pinus Asri,The Lost World Castle,Alun-alun Utara Keraton Yogyakarta,The Lost World Castle,Alun-alun Utara Keraton Yogyakarta,Alun-alun Utara Keraton Yogyakarta
5858,Jakarta,Museum Sumpah Pemuda,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
5859,Surabaya,Waterpark Kenjeran Surabaya,Hutan Bambu Keputih,Waterpark Kenjeran Surabaya,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
5860,Yogyakarta,Watu Mabur Mangunan,Puncak Kebun Buah Mangunan,Goa Rancang Kencono,,,,,
5861,Jakarta,Taman Ayodya,Museum Tekstil,Taman Agrowisata Cilangkap,Pulau Tidung,Taman Menteng,Pulau Tidung,Taman Menteng,Taman Menteng
5862,Yogyakarta,Gembira Loka Zoo,Pintoe Langit Dahromo,Bukit Paralayang,,,,,
5863,Surabaya,Ciputra Waterpark,Museum TNI AL Loka Jala Crana,Waterpark Kenjeran Surabaya,Monumen Jalesveva Jayamahe,,Monumen Jalesveva Jayamahe,,
5864,Bandung,Chingu Cafe Little Seoul,Dago Dreampark,Tafso Barn,Kebun Tanaman Obat Sari Alam,Orchid Forest Cikole,Kebun Tanaman Obat Sari Alam,Orchid Forest Cikole,Orchid Forest Cikole
5865,Bandung,Taman Film,Monumen Bandung Lautan Api,Rainbow Garden,Curug Aseupan, Panama Park 825,Curug Aseupan, Panama Park 825, Panama Park 825
5866,Surabaya,Taman Harmoni Keputih,Balai Kota Surabaya,Monumen Bambu Runcing Surabaya,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
5867,Jakarta,Taman Agrowisata Cilangkap,Taman Suropati,Museum Perangko,Masjid Istiqlal,,Masjid Istiqlal,,
5868,Yogyakarta,Kauman Pakualaman Yogyakarta,Pantai Kukup,Kawasan Malioboro,,,,,
5869,Semarang,Museum Kereta Ambarawa,Kampoeng Djadhoel Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Wisata Mangrove Tapak,Flower Farm Setiya Aji,Wisata Mangrove Tapak,Flower Farm Setiya Aji,Flower Farm Setiya Aji
5870,Semarang,Lawang Sewu,Taman Tabanas,Watu Gunung Ungaran,Pura Giri Natha,Saloka Theme Park,Pura Giri Natha,Saloka Theme Park,Saloka Theme Park
5871,Yogyakarta,Nol Kilometer Jl.Malioboro,Monumen Sanapati,Pantai Drini,,,,,
5872,Jakarta,Pasar Taman Puring,Museum Nasional,Taman Ayodya,Alive Museum Ancol,,Alive Museum Ancol,,
5873,Jakarta,Bumi Perkemahan Cibubur,Taman Suropati,Pasar Tanah Abang,Taman Ayodya,,Taman Ayodya,,
5874,Semarang,Wisata Lereng Kelir,Indonesia Kaya Park,Lawang Sewu,Flower Farm Setiya Aji,GPIB Immanuel Semarang (Gereja Blenduk),Flower Farm Setiya Aji,GPIB Immanuel Semarang (Gereja Blenduk),GPIB Immanuel Semarang (Gereja Blenduk)
5875,Bandung,Taman Miniatur Kereta Api,Glamping Lakeside Rancabali,Monumen Bandung Lautan Api,,,,,
5876,Jakarta,Museum Joang 45,Museum Basoeki Abdullah,Ocean Ecopark,Museum Seni Rupa dan Kramik,,Museum Seni Rupa dan Kramik,,
5877,Yogyakarta,Kauman Pakualaman Yogyakarta,Goa Pindul,Pantai Indrayanti,Pantai Wediombo,,Pantai Wediombo,,
5878,Bandung,NuArt Sculpture Park,Kawah Putih,Masjid Al-Imtizaj,,,,,
5879,Jakarta,Kota Tua,Mall Thamrin City,Museum Taman Prasasti,Taman Impian Jaya Ancol,,Taman Impian Jaya Ancol,,
5880,Bandung,Gereja Katedral Santo Petrus Bandung,Curug Anom,Kota Mini,Museum Nike Ardilla,Glamping Lakeside Rancabali,Museum Nike Ardilla,Glamping Lakeside Rancabali,Glamping Lakeside Rancabali
5881,Bandung,Monumen Bandung Lautan Api,| Peta Park,Lawangwangi Creative Space, Panama Park 825,Taman Begonia, Panama Park 825,Taman Begonia,Taman Begonia
5882,Bandung,Panghegar Waterboom Bandung,Curug Tilu Leuwi Opat,Caringin Tilu,Water Park Bandung Indah,,Water Park Bandung Indah,,
5883,Yogyakarta,Puncak Kebun Buah Mangunan,Kampung Wisata Kadipaten,Candi Borobudur,,,,,
5884,Yogyakarta,Bukit Paralayang,,,,,,,
5885,Bandung,Kebun Tanaman Obat Sari Alam,Curug Cipanas,Gua Pawon,Kota Mini,Taman Budaya Jawa Barat,Kota Mini,Taman Budaya Jawa Barat,Taman Budaya Jawa Barat
5886,Surabaya,Kampoeng Rawa,Keraton Surabaya,Klenteng Sanggar Agung,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
5887,Semarang,Saloka Theme Park,Kampoeng Kopi Banaran,Taman Srigunting,Wisata Lereng Kelir,Taman Pandanaran,Wisata Lereng Kelir,Taman Pandanaran,Taman Pandanaran
5888,Jakarta,Taman Suropati,Pulau Pelangi,Pulau Pramuka,Museum Joang 45,,Museum Joang 45,,
5889,Jakarta,Taman Menteng,Kota Tua,Perpustakaan Nasional,Tugu Proklamasi,,Tugu Proklamasi,,
5890,Semarang,Pantai Baruna,Desa Wisata Lembah Kalipancur,Indonesia Kaya Park,Water Blaster Bukit Candi Golf,Air Terjun Semirang,Water Blaster Bukit Candi Golf,Air Terjun Semirang,Air Terjun Semirang
5891,Yogyakarta,Pantai Jogan,Taman Pelangi Jogja,Taman Pelangi Jogja,Hutan Pinus Asri,,Hutan Pinus Asri,,
5892,Yogyakarta,Pantai Wediombo,Taman Pelangi Yogyakarta,Bukit Wisata Pulepayung,,,,,
5893,Yogyakarta,Tebing Breksi,Tebing Breksi,Bendung Lepen,,,,,
5894,Yogyakarta,Monumen Sanapati,Alun Alun Selatan Yogyakarta,Pantai Glagah,Desa Wisata Sungai Code Jogja Kota,Pasar Kebon Empring Bintaran,Desa Wisata Sungai Code Jogja Kota,Pasar Kebon Empring Bintaran,Pasar Kebon Empring Bintaran
5895,Jakarta,Plaza Indonesia,Museum Sumpah Pemuda,Pasar Seni,Museum Perangko,,Museum Perangko,,
5896,Semarang,Grand Maerakaca,Durian Gardens and Tourism Education Watu Simbar,Wisata Mangrove Tapak,Air Terjun Semirang,Wisata Alam Wana Wisata Penggaron,Air Terjun Semirang,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
5897,Surabaya,Klenteng Sanggar Agung,Atlantis Land Surabaya,House of Sampoerna,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
5898,Jakarta,Pasar Tanah Abang,Taman Ayodya,Museum Seni Rupa dan Kramik,Taman Spathodea,,Taman Spathodea,,
5899,Bandung,Kebun Binatang Bandung,Alun-Alun Kota Bandung,Water Park Bandung Indah,,,,,
5900,Jakarta,Taman Impian Jaya Ancol,Pulau Tidung,Taman Spathodea,Grand Indonesia Mall,,Grand Indonesia Mall,,
5901,Bandung,Kebun Binatang Bandung,Taman Vanda,Teras Cikapundung BBWS,,,,,
5902,Semarang,Taman Pandanaran,Durian Gardens and Tourism Education Watu Simbar,Brown Canyon,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo
5903,Semarang,Benteng Pendem,Obyek Wisata Goa Kreo,Pantai Marina,La Kana Chapel,Kampoeng Kopi Banaran,La Kana Chapel,Kampoeng Kopi Banaran,Kampoeng Kopi Banaran
5904,Yogyakarta,Hutan Pinus Asri,Tebing Breksi,Taman Pelangi Yogyakarta,,,,,
5905,Semarang,Durian Gardens and Tourism Education Watu Simbar,Kampung Batik Gedong Semarang,Kampoeng Djadhoel Semarang,Obyek Wisata Goa Kreo,Semarang Contemporary Art Gallery,Obyek Wisata Goa Kreo,Semarang Contemporary Art Gallery,Semarang Contemporary Art Gallery
5906,Yogyakarta,Desa Wisata Sungai Code Jogja Kota,Galaxy Waterpark Jogja,Pantai Kukup,,,,,
5907,Semarang,Saloka Theme Park,Wisata Alam Wana Wisata Penggaron,Water Blaster Bukit Candi Golf,Old City 3D Trick Art Museum,Pantai Marina,Old City 3D Trick Art Museum,Pantai Marina,Pantai Marina
5908,Bandung,Kawah Putih,Bukit Jamur,Museum Pos Indonesia,Museum Geologi Bandung,Curug Aseupan,Museum Geologi Bandung,Curug Aseupan,Curug Aseupan
5909,Jakarta,Klenteng Jin De Yuan,Museum Taman Prasasti,Taman Menteng,Museum Macan (Modern and Contemporary Art in Nusantara),,Museum Macan (Modern and Contemporary Art in Nusantara),,
5910,Semarang,Kampung Batik Gedong Semarang,Hutan Wisata Tinjomoyo Semarang,Kampung Batik Gedong Semarang,Indonesia Kaya Park,Umbul Sidomukti,Indonesia Kaya Park,Umbul Sidomukti,Umbul Sidomukti
5911,Yogyakarta,Pantai Indrayanti,Desa Wisata Sungai Code Jogja Kota,Nol Kilometer Jl.Malioboro,,,,,
5912,Jakarta,Museum Bank Indonesia,Taman Impian Jaya Ancol,Taman Lapangan Banteng,Gereja Katedral,,Gereja Katedral,,
5913,Jakarta,Museum Taman Prasasti,Taman Suropati,Pasar Petak Sembilan,Taman Menteng,,Taman Menteng,,
5914,Yogyakarta,Jurang Tembelan Kanigoro,Watu Lumbung,Air Terjun Kedung Pedut,,,,,
5915,Surabaya,Taman Bungkul,Monumen Kapal Selam,Keraton Surabaya,Waterpark Kenjeran Surabaya,Kebun Bibit Wonorejo,Waterpark Kenjeran Surabaya,Kebun Bibit Wonorejo,Kebun Bibit Wonorejo
5916,Surabaya,Atlantis Land Surabaya,Kampoeng Rawa,Masjid Nasional Al-Akbar,Museum TNI AL Loka Jala Crana,,Museum TNI AL Loka Jala Crana,,
5917,Surabaya,Klenteng Sanggar Agung,Waterpark Kenjeran Surabaya,Air Mancur Menari,Taman Flora Bratang Surabaya,,Taman Flora Bratang Surabaya,,
5918,Jakarta,Pasar Seni,Museum Macan (Modern and Contemporary Art in Nusantara),Taman Agrowisata Cilangkap,Tugu Proklamasi,,Tugu Proklamasi,,
5919,Semarang,Kampoeng Kopi Banaran,Kampung Pelangi,Old City 3D Trick Art Museum,Kampoeng Kopi Banaran,Kampung Batik Gedong Semarang,Kampoeng Kopi Banaran,Kampung Batik Gedong Semarang,Kampung Batik Gedong Semarang
5920,Bandung,Museum Pendidikan Nasional,Museum Gedung Sate,Gunung Manglayang,Taman Balai Kota Bandung,Museum Pos Indonesia,Taman Balai Kota Bandung,Museum Pos Indonesia,Museum Pos Indonesia
5921,Semarang,Benteng Pendem,La Kana Chapel,Water Blaster Bukit Candi Golf,Kampung Batik Gedong Semarang,Kampung Pelangi,Kampung Batik Gedong Semarang,Kampung Pelangi,Kampung Pelangi
5922,Bandung,Taman Budaya Jawa Barat,Kyotoku Floating Market,Ade Irma Suryani Nasution Traffic Park,Roemah Seni Sarasvati,Jendela Alam,Roemah Seni Sarasvati,Jendela Alam,Jendela Alam
5923,Jakarta,Pasar Taman Puring,Taman Impian Jaya Ancol,Gereja Katedral,Museum Joang 45,,Museum Joang 45,,
5924,Jakarta,Plaza Indonesia,Ocean Ecopark,Freedom Library,Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
5925,Semarang,Waduk Jatibarang,Obyek Wisata Goa Kreo,GPIB Immanuel Semarang (Gereja Blenduk),Candi Gedong Songo,Kampoeng Kopi Banaran,Candi Gedong Songo,Kampoeng Kopi Banaran,Kampoeng Kopi Banaran
5926,Bandung,Taman Film,Taman Vanda,Kyotoku Floating Market,Taman Begonia,Masjid Al-Imtizaj,Taman Begonia,Masjid Al-Imtizaj,Masjid Al-Imtizaj
5927,Surabaya,Surabaya North Quay,Rumah Batik,Patung Buddha Empat Rupa,Rumah Batik,Surabaya Museum (Gedung Siola),Rumah Batik,Surabaya Museum (Gedung Siola),Surabaya Museum (Gedung Siola)
5928,Semarang,Water Blaster Bukit Candi Golf, Pantai Cipta,Brown Canyon,La Kana Chapel,Kampung Pelangi,La Kana Chapel,Kampung Pelangi,Kampung Pelangi
5929,Yogyakarta,Monumen Serangan Umum 1 Maret,Alun-alun Utara Keraton Yogyakarta,Nol Kilometer Jl.Malioboro,,,,,
5930,Surabaya,Waterpark Kenjeran Surabaya,Taman Prestasi,Monumen Tugu Pahlawan,Taman Barunawati,,Taman Barunawati,,
5931,Yogyakarta,Goa Rancang Kencono,Monumen Sanapati,Taman Situ Lembang,,,,,
5932,Surabaya,Taman Hiburan Rakyat,Gereja Perawan Maria Tak Berdosa Surabaya,Taman Hiburan Rakyat,Museum Mpu Tantular,,Museum Mpu Tantular,,
5933,Yogyakarta,Kampung Wisata Kadipaten,Bentara Budaya Yogyakarta (BBY),Bukit Wisata Pulepayung,,,,,
5934,Bandung,Pesona Nirwana Waterpark & Cottages,Masjid Pusdai,Caringin Tilu,Tafso Barn,Orchid Forest Cikole,Tafso Barn,Orchid Forest Cikole,Orchid Forest Cikole
5935,Bandung,Museum Sri Baduga,Curug Aseupan,Glamping Lakeside Rancabali,Taman Balai Kota Bandung,Curug Malela,Taman Balai Kota Bandung,Curug Malela,Curug Malela
5936,Yogyakarta,Bukit Lintang Sewu,Pasar Kebon Empring Bintaran,Jurang Tembelan Kanigoro,The World Landmarks - Merapi Park Yogyakarta,,The World Landmarks - Merapi Park Yogyakarta,,
5937,Yogyakarta,De Mata Museum Jogja,Wisata Kalibiru,Pantai Nguluran,,,,,
5938,Yogyakarta,Taman Pelangi Jogja,Lava Bantal,Monumen Serangan Umum 1 Maret,,,,,
5939,Bandung,Curug Batu Templek,Lembang Park & Zoo,Water Park Bandung Indah,Museum Sri Baduga,Sudut Pandang Bandung,Museum Sri Baduga,Sudut Pandang Bandung,Sudut Pandang Bandung
5940,Semarang,Brown Canyon,Saloka Theme Park,Jembatan Biru Ambarawa,,,,,
5941,Yogyakarta,Bentara Budaya Yogyakarta (BBY),Tebing Breksi,Pantai Samas,,,,,
5942,Yogyakarta,Pasar Kebon Empring Bintaran,Pantai Depok Jogja,Tugu Pal Putih Jogja,Puncak Gunung Api Purba - Nglanggeran,,Puncak Gunung Api Purba - Nglanggeran,,
5943,Bandung,Caringin Tilu,Taman Sejarah Bandung,Gua Pawon,Caringin Tilu,Dago Dreampark,Caringin Tilu,Dago Dreampark,Dago Dreampark
5944,Jakarta,Jakarta Aquarium dan Safari,Taman Spathodea,Kota Tua,Monas,,Monas,,
5945,Yogyakarta,Pantai Ngrenehan,Kebun Teh Nglinggo,Pintoe Langit Dahromo,Bunker Kaliadem Merapi,,Bunker Kaliadem Merapi,,
5946,Bandung,Kampung Korea Bandung,Roemah Seni Sarasvati,Kebun Tanaman Obat Sari Alam,Museum Konferensi Asia Afrika,Gunung Manglayang,Museum Konferensi Asia Afrika,Gunung Manglayang,Gunung Manglayang
5947,Jakarta,Ocean Ecopark,SnowBay Waterpark,Museum Fatahillah,Perpustakaan Nasional,,Perpustakaan Nasional,,
5948,Surabaya,Surabaya North Quay,Ekowisata Mangrove Wonorejo,Museum TNI AL Loka Jala Crana,Surabaya North Quay,,Surabaya North Quay,,
5949,Jakarta,Pasar Seni,Taman Spathodea,Masjid Istiqlal,Freedom Library,,Freedom Library,,
5950,Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Patung Buddha Empat Rupa,Masjid Kapal Semarang,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
5951,Bandung,Mountain View Golf Club,Panghegar Waterboom Bandung,Sudut Pandang Bandung,Curug Aseupan,Sudut Pandang Bandung,Curug Aseupan,Sudut Pandang Bandung,Sudut Pandang Bandung
